OrderID,Date,Demand,Procurement_Lead_Time,Procurement_Cost
1903,Jan-2015,74,1.25,2243.56
1999,Feb-2015,68,1.25,1754.67
2052,Mar-2015,55,1.25,1534.90
2447,Apr-2015,64,1.25,1634.78
2584,May-2015,69,1.25,1867.98
2743,Jun-2015,78,1.25,2498.04
3071,Jul-2015,75,1.25,2351.44
3311,Aug-2015,80,1.25,2698.52
3683,Sep-2015,91,2,3158.40
3779,Oct-2015,99,2,3689.01
4056,Nov-2015,100,2,3987.76
4212,Dec-2015,102,2,3809.87
4262,Jan-2016,96,2,3765.98
4290,Feb-2016,91,2,3154.98
4617,Mar-2016,80,1.25,2684.00
4953,Apr-2016,72,1.25,2309.70
5133,May-2016,69,1.25,1754.98
5198,Jun-2016,75,1.25,2398.44
5268,Jul-2016,84,1.25,2766.23
5503,Aug-2016,89,2,3092.76
5800,Sep-2016,92,2,3165.25
6051,Oct-2016,99,2,3672.12
6398,Nov-2016,90,2,3102.73
6599,Dec-2016,106,2,3866.17
6748,Jan-2017,103,2,3899.05
6886,Feb-2017,92,2,3156.23
7175,Mar-2017,88,1.25,3024.00
7354,Apr-2017,80,1.25,2996.56
7581,May-2017,81,1.25,3009.30
7639,Jun-2017,72,1.25,2323.67
7748,Jul-2017,60,1.25,1799.34
7809,Aug-2017,75,1.25,2367.54
7884,Sep-2017,79,1.25,2607.87
8115,Oct-2017,85,1.25,2768.98
8270,Nov-2017,81,1.25,3093.67
8424,Dec-2017,93,2,3108.67
